"","Regiao","EstadoSigla","Municipio","Revenda","ValorVenda","ValorCompra","UnidadeMedida","Bandeira"
"1","NE","BA","SALVADOR","DD COMERCIO VAREJISTA DE GAS LIQUEF. DE PETROLEO LTDA","65","63,02","R$ / 13 kg","BRANCA"
"2","NE","BA","SALVADOR","CELIDALVA BARRETO DOS SANTOS","68","61,5","R$ / 13 kg","BAHIANA"
"3","NE","BA","SIMOES FILHO","ROSANA SANTOS DE MELLO ME","68","58","R$ / 13 kg","LIQUIGAS"
"4","NE","BA","SIMOES FILHO","ROSANA SANTOS DE MELLO ME","68","58","R$ / 13 kg","LIQUIGAS"
"5","NE","BA","SALVADOR","AM GAS LTDA","72","55,52","R$ / 13 kg","BRANCA"
"6","NE","BA","SALVADOR","AM GAS LTDA","72","55,52","R$ / 13 kg","BRANCA"
"7","NE","BA","SALVADOR","ATENDEGAS COMERCIAL DE GAS LTDA","60","54,29","R$ / 13 kg","BRANCA"
"8","NE","BA","SIMOES FILHO","NATANAEL BRAZ DAMASCENO FILHO - ME","70","54,29","R$ / 13 kg","BRANCA"
"9","NE","BA","SIMOES FILHO","NATANAEL BRAZ DAMASCENO FILHO - ME","70","54,29","R$ / 13 kg","BRANCA"
"10","NE","BA","SIMOES FILHO","NATANAEL BRAZ DAMASCENO FILHO - ME","70","54,29","R$ / 13 kg","BRANCA"
"11","NE","BA","SIMOES FILHO","NATANAEL BRAZ DAMASCENO FILHO - ME","70","54,29","R$ / 13 kg","BRANCA"
"12","NE","BA","SIMOES FILHO","NATANAEL BRAZ DAMASCENO FILHO - ME","70","54,29","R$ / 13 kg","BRANCA"
"13","NE","BA","SIMOES FILHO","NATANAEL BRAZ DAMASCENO FILHO - ME","70","54,29","R$ / 13 kg","BRANCA"
"14","NE","BA","SALVADOR","ALTO DO PERU REVENDEDORA DE GLP","65","53,92","R$ / 13 kg","BRANCA"
"15","NE","BA","SALVADOR","CELSO REVENDEDORA DE GLP LTDA - ME","65","53,172","R$ / 13 kg","BRANCA"
"16","NE","BA","SALVADOR","A G GAS LTDA ME","68","53,02","R$ / 13 kg","BRANCA"
"17","NE","BA","SALVADOR","ALICE ALVES DOS SANTOS DE JACOBINA - ME","65","53,02","R$ / 13 kg","BRANCA"
"18","NE","BA","SALVADOR","ALICE ALVES DOS SANTOS DE JACOBINA - ME","65","53,02","R$ / 13 kg","BRANCA"
"19","NE","BA","SALVADOR","ALTO DO PERU REVENDEDORA DE GLP","65","53,02","R$ / 13 kg","BRANCA"
"20","NE","BA","SALVADOR","AMILTON OLVEIRA DE BOA VISTA SAO CAETANO - ME","65","53,02","R$ / 13 kg","BRANCA"
"21","NE","BA","SALVADOR","ATENDEGAS COMERCIAL DE GAS LTDA","60","53,02","R$ / 13 kg","BRANCA"
"22","NE","BA","SALVADOR","BELA VISTA REVENDEDORA DE GAS LTDA - ME","63","53,02","R$ / 13 kg","BRANCA"
"23","NE","BA","SALVADOR","BELA VISTA REVENDEDORA DE GAS LTDA - ME","63","53,02","R$ / 13 kg","BRANCA"
"24","NE","BA","SALVADOR","CELIDALVA BARRETO DOS SANTOS","65","53,02","R$ / 13 kg","BRANCA"
"25","NE","BA","SALVADOR","CELSO REVENDEDORA DE GLP LTDA - ME","65","53,02","R$ / 13 kg","BRANCA"
"26","NE","BA","SALVADOR","DD COMERCIO VAREJISTA DE GAS LIQUEF. DE PETROLEO LTDA","65","53,02","R$ / 13 kg","BRANCA"
"27","NE","BA","SALVADOR","FENIX COMERCIO DE GAS EIRELI ME","67","53,02","R$ / 13 kg","BRANCA"
"28","NE","BA","SALVADOR","FENIX COMERCIO DE GAS EIRELI ME","67","53,02","R$ / 13 kg","BRANCA"
"29","NE","BA","SALVADOR","FIUZA COMERCIALIZACAO DE GAS LTDA.","65","53,02","R$ / 13 kg","BRANCA"
"30","NE","BA","SIMOES FILHO","LAISE PEREIRA DAMACENA ME","65","53,02","R$ / 13 kg","BRANCA"
"31","NE","BA","SIMOES FILHO","LAISE PEREIRA DAMACENA ME","65","53,02","R$ / 13 kg","BRANCA"
"32","NE","BA","SIMOES FILHO","LAISE PEREIRA DAMACENA ME","65","53,02","R$ / 13 kg","BRANCA"
"33","NE","BA","SIMOES FILHO","LAISE PEREIRA DAMACENA ME","65","53,02","R$ / 13 kg","BRANCA"
"34","NE","BA","SIMOES FILHO","MELLO SANTOS COMERCIAL DE GAS LTDA","68","53,02","R$ / 13 kg","BRANCA"
"35","NE","BA","SIMOES FILHO","MELLO SANTOS COMERCIAL DE GAS LTDA","68","53,02","R$ / 13 kg","BRANCA"
"36","NE","BA","SIMOES FILHO","MELLO SANTOS COMERCIAL DE GAS LTDA","68","53,02","R$ / 13 kg","BRANCA"
"37","NE","BA","SIMOES FILHO","MELLO SANTOS COMERCIAL DE GAS LTDA","72","53,02","R$ / 13 kg","BRANCA"
"38","NE","BA","SIMOES FILHO","MELLO SANTOS COMERCIAL DE GAS LTDA","68","53,02","R$ / 13 kg","BRANCA"
"39","NE","BA","SIMOES FILHO","MELLO SANTOS COMERCIAL DE GAS LTDA","72","53,02","R$ / 13 kg","BRANCA"
"40","NE","BA","SIMOES FILHO","NATANAEL BRAZ DAMASCENO FILHO - ME","65","53,02","R$ / 13 kg","BRANCA"
"41","NE","BA","SIMOES FILHO","NATANAEL BRAZ DAMASCENO FILHO - ME","65","53,02","R$ / 13 kg","BRANCA"
"42","NE","BA","SIMOES FILHO","NATANAEL BRAZ DAMASCENO FILHO - ME","65","53,02","R$ / 13 kg","BRANCA"
"43","NE","BA","SIMOES FILHO","NATANAEL BRAZ DAMASCENO FILHO - ME","65","53,02","R$ / 13 kg","BRANCA"
"44","NE","BA","VITORIA DA CONQUISTA","ONILDO BATISTA DE OLIVEIRA","70","53","R$ / 13 kg","BRANCA"
"45","NE","BA","VITORIA DA CONQUISTA","ONILDO BATISTA DE OLIVEIRA","70","53","R$ / 13 kg","BRANCA"
"46","NE","BA","VITORIA DA CONQUISTA","ONILDO BATISTA DE OLIVEIRA","70","53","R$ / 13 kg","BRANCA"
"47","NE","BA","VITORIA DA CONQUISTA","ONILDO BATISTA DE OLIVEIRA","70","53","R$ / 13 kg","BRANCA"
"48","NE","BA","VITORIA DA CONQUISTA","ONILDO BATISTA DE OLIVEIRA","70","53","R$ / 13 kg","BRANCA"
"49","NE","BA","VITORIA DA CONQUISTA","ONILDO BATISTA DE OLIVEIRA","70","53","R$ / 13 kg","BRANCA"
"50","NE","BA","VITORIA DA CONQUISTA","ONILDO BATISTA DE OLIVEIRA","70","53","R$ / 13 kg","BRANCA"
"51","NE","BA","VITORIA DA CONQUISTA","ONILDO BATISTA DE OLIVEIRA","70","53","R$ / 13 kg","BRANCA"
"52","NE","BA","VITORIA DA CONQUISTA","ONILDO BATISTA DE OLIVEIRA","70","53","R$ / 13 kg","BRANCA"
"53","NE","BA","VITORIA DA CONQUISTA","ONILDO BATISTA DE OLIVEIRA","70","53","R$ / 13 kg","BRANCA"
"54","NE","BA","VITORIA DA CONQUISTA","ONILDO BATISTA DE OLIVEIRA","70","53","R$ / 13 kg","BRANCA"
"55","NE","BA","VITORIA DA CONQUISTA","ONILDO BATISTA DE OLIVEIRA","70","53","R$ / 13 kg","BRANCA"
"56","NE","BA","VITORIA DA CONQUISTA","ONILDO BATISTA DE OLIVEIRA","70","53","R$ / 13 kg","BRANCA"
"57","NE","BA","VITORIA DA CONQUISTA","ONILDO BATISTA DE OLIVEIRA","70","53","R$ / 13 kg","BRANCA"
"58","NE","BA","VITORIA DA CONQUISTA","ONILDO BATISTA DE OLIVEIRA","70","53","R$ / 13 kg","BRANCA"
"59","NE","BA","VITORIA DA CONQUISTA","ONILDO BATISTA DE OLIVEIRA","70","53","R$ / 13 kg","BRANCA"
"60","NE","BA","VITORIA DA CONQUISTA","ONILDO BATISTA DE OLIVEIRA","70","53","R$ / 13 kg","BRANCA"
"61","NE","BA","VITORIA DA CONQUISTA","ONILDO BATISTA DE OLIVEIRA","70","53","R$ / 13 kg","BRANCA"
"62","NE","BA","VALENCA","INTERGAS DISTRIBUIDORA DE GAS LTDA.","70","52,96","R$ / 13 kg","COPAGAZ"
"63","NE","BA","VALENCA","INTERGAS DISTRIBUIDORA DE GAS LTDA.","70","52,96","R$ / 13 kg","COPAGAZ"
"64","NE","BA","SALVADOR","A G GAS LTDA ME","67","52,11","R$ / 13 kg","BRANCA"
"65","NE","BA","SALVADOR","ALICE ALVES DOS SANTOS DE JACOBINA - ME","65","52,11","R$ / 13 kg","BRANCA"
"66","NE","BA","SALVADOR","ALTO DO PERU REVENDEDORA DE GLP","65","52,11","R$ / 13 kg","BRANCA"
"67","NE","BA","SALVADOR","AM GAS LTDA","71","52,11","R$ / 13 kg","BRANCA"
"68","NE","BA","SALVADOR","AMILTON OLVEIRA DE BOA VISTA SAO CAETANO - ME","65","52,11","R$ / 13 kg","BRANCA"
"69","NE","BA","SALVADOR","ATENDEGAS COMERCIAL DE GAS LTDA","60","52,11","R$ / 13 kg","BRANCA"
"70","NE","BA","SALVADOR","BELA VISTA REVENDEDORA DE GAS LTDA - ME","62","52,11","R$ / 13 kg","BRANCA"
"71","NE","BA","SALVADOR","CELIDALVA BARRETO DOS SANTOS","65","52,11","R$ / 13 kg","BRANCA"
"72","NE","BA","SALVADOR","CELSO REVENDEDORA DE GLP LTDA - ME","60","52,11","R$ / 13 kg","BRANCA"
"73","NE","BA","SALVADOR","DD COMERCIO VAREJISTA DE GAS LIQUEF. DE PETROLEO LTDA","67","52,11","R$ / 13 kg","BRANCA"
"74","NE","BA","SALVADOR","FAZENDA GRANDE 4 - COMERCIO DE GAS LTDA - ME","65","52,11","R$ / 13 kg","BRANCA"
